Price,Size,Bed,Bath
2000000,600.0,2,1
2000000,600.0,2,1
2000000,600.0,2,1
2000000,600.0,2,1
2000000,600.0,2,1
2000000,600.0,2,1
6740000,1348.0,3,3
3402000,810.0,2,2
6740000,1348.0,3,3
7315000,1463.0,3,3
7315000,1463.0,3,3
7315000,1463.0,3,3
5200000,1133.0,3,3
4800000,1060.0,3,2
3100000,650.0,2,2
4280000,1050.0,3,2
6200000,1180.0,3,2
3000000,650.0,2,2
4600000,800.0,2,2
7000000,1225.0,3,3
2000000,600.0,2,1
3402000,810.0,2,2
5750000,1150.0,3,2
5750000,1150.0,3,2
6000000,1150.0,3,3
7000000,1400.0,3,3
5000000,1220.0,3,2
5000000,1220.0,3,2
3825000,850.0,2,2
5000000,900.0,2,2
4000000,1000.0,3,2
4500000,900.0,3,2
6500000,1370.0,3,3
3850000,700.0,2,2
9500000,1600.0,3,4
5750000,1150.0,3,2
4815000,1070.0,3,2
4815000,1070.0,3,2
5000000,960.0,3,2
5513000,1225.0,3,2
15500000,2000.0,4,4
5500000,900.0,2,2
6740000,1348.0,3,3
3402000,810.0,2,2
3403000,815.0,2,2
10000000,1600.0,3,3
3200000,825.0,2,2
6000000,850.0,2,2
4700000,650.0,2,2
5000000,950.0,3,2
5750000,1150.0,3,2
7900000,1380.0,3,4
5500000,980.0,3,3
5750000,1150.0,3,2
5750000,1150.0,3,2
5750000,1150.0,3,2
5750000,1150.0,3,2
5750000,1150.0,3,2
5750000,1150.0,3,2
2500000,700.0,2,2
5115000,930.0,2,2
5115000,930.0,2,2
11600000,1553.0,3,3
4000000,650.0,2,2
5750000,1150.0,3,2
5750000,1150.0,3,2
4000000,800.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
5115000,930.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
4815000,1070.0,3,2
3422999,815.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
8000000,1175.0,3,3
4053000,965.0,3,2
4000000,800.0,2,2
3474000,965.0,3,2
3474000,850.0,3,2
4000000,800.0,2,2
4000000,800.0,2,2
4000000,800.0,2,2
3474000,965.0,3,2
3000000,900.0,2,2
2800000,650.0,2,2
8600000,1600.0,3,3
2800000,700.0,2,2
6300000,1370.0,3,3
5500000,950.0,3,2
4700000,650.0,2,2
2800000,700.0,2,2
7000000,1200.0,3,3
3850000,700.0,2,2
11000000,1553.0,3,3
4000000,1100.0,3,2
5000000,1100.0,3,2
5200000,906.0,2,2
2300000,650.0,2,2
8100000,1350.0,3,3
7900000,1073.0,3,2
8100000,1350.0,3,3
8100000,1350.0,3,3
8100000,1350.0,3,3
4536000,1080.0,3,2
4620000,1100.0,3,2
8000000,1730.0,4,4
5200000,1276.0,3,2
4800000,1000.0,2,2
5098000,1133.0,3,3
5670000,1260.0,3,3
3500000,650.0,2,2
5200000,1000.0,2,2
4500000,1050.0,3,2
8750000,1250.0,3,3
3400000,1060.0,3,2
1600000,350.0,1,1
4370000,950.0,2,2
3570000,850.0,2,2
5500000,1100.0,3,2
8500000,1400.0,3,3
4100000,850.0,2,2
4100000,850.0,2,2
4100000,850.0,2,2
4500000,1000.0,3,2
9000000,1250.0,3,3
4800000,1000.0,2,2
2000000,600.0,2,1
4500000,815.0,2,2
3500000,885.0,3,2
3000000,925.0,3,2
20000000,2610.0,4,5
9000000,1525.0,3,3
9300000,1300.0,3,3
4500000,1050.0,3,2
5200000,1050.0,3,2
14500000,1872.0,3,3
5000000,1258.0,3,3
5000000,1258.0,3,3
5000000,1258.0,3,3
10000000,1800.0,4,3
5500000,900.0,2,2
7000000,1200.0,3,3
8500000,1481.0,3,3
3500000,600.0,2,2
3500000,650.0,2,2
7325000,1050.0,3,3
8625000,1250.0,3,3
7325000,1050.0,3,3
11700000,1525.0,3,4
7975000,1150.0,3,3
7975000,1150.0,3,3
7975000,1150.0,3,3
8625000,1250.0,3,3
2916000,810.0,2,2
2916000,810.0,2,2
8625000,1250.0,3,3
6600000,1200.0,3,3
6350000,1150.0,3,3
6000000,1000.0,3,2
11500000,1545.0,3,3
2916000,810.0,2,2
2916000,810.0,2,2
2600000,700.0,2,2
4750000,950.0,2,2
7325000,1050.0,3,3
4400000,1120.0,3,3
3200000,850.0,2,2
4200000,950.0,2,2
9900000,1450.0,3,4
7975000,1150.0,3,3
3700000,856.0,2,2
7450000,1170.0,3,2
4342000,835.0,2,2
5304000,1020.0,3,2
3800000,930.0,2,2
5000000,1250.0,3,3
13000000,1900.0,3,4
8625000,1250.0,3,3
8625000,1250.0,3,3
7975000,1150.0,3,3
7975000,1150.0,3,3
7325000,1050.0,3,3
7325000,1050.0,3,3
5594000,1332.0,3,3
5000000,1250.0,3,3
5000000,1250.0,3,3
4200000,950.0,2,2
5000000,1000.0,3,2
6075000,1350.0,3,3
7500000,1310.0,3,3
4500000,850.0,3,2
4820000,1100.0,3,2
6950000,1390.0,3,3
7000000,1200.0,3,3
5040000,1200.0,3,3
7000000,1343.0,3,2
7000000,1323.0,3,3
7000000,1343.0,3,3
7850000,1245.0,3,3
8625000,1250.0,3,3
7325000,1050.0,3,3
6000000,1250.0,4,4
4500000,1000.0,3,3
7850000,1245.0,3,3
7450000,1170.0,3,2
7850000,1245.0,3,3
7450000,1170.0,3,2
9170000,1350.0,3,3
4425000,885.0,2,2
5000000,1083.0,3,2
8250000,1375.0,3,3
8000000,1500.0,3,3
8000000,1500.0,3,3
6500000,1150.0,3,3
2800000,650.0,2,2
2800000,650.0,2,2
7508000,1365.0,3,3
5250000,1250.0,3,3
4500000,884.0,2,2
4500000,884.0,2,2
3800000,884.0,2,2
12000000,2000.0,4,4
5650000,1130.0,3,3
10000000,1370.0,3,3
5000000,1100.0,3,3
5000000,1100.0,3,2
3800000,900.0,2,2
9060000,1510.0,3,3
9135000,1305.0,3,3
5300000,800.0,3,2
10000000,1518.0,4,3
7500000,1112.0,3,2
9060000,1510.0,3,3
9060000,1510.0,3,3
7359999,1232.0,3,3
6925000,1265.0,3,3
5500000,950.0,2,3
15600000,2400.0,3,4
15600000,2400.0,3,4
9060000,1510.0,3,3
6300000,1140.0,3,3
4700000,890.0,2,2
7558000,1265.0,3,3
6759999,1232.0,3,3
6759999,1232.0,3,3
4500000,1000.0,2,2
4410000,1050.0,3,3
4830000,1150.0,3,3
4410000,1050.0,3,3
8800000,1545.0,3,4
8500000,2000.0,4,4
7300000,1450.0,3,3
9205000,1315.0,3,3
9060000,1510.0,3,3
3400000,800.0,2,2
6600000,1350.0,3,3
6600000,1350.0,3,3
5500000,1265.0,3,3
6500000,1300.0,3,3
6500000,1300.0,3,3
8359999,1520.0,4,3
4830000,1150.0,3,3
3500000,650.0,2,2
2200000,600.0,2,2
2400000,600.0,2,2
2500000,612.0,2,2
4930000,1100.0,3,2
8250000,1375.0,3,3
5500000,1053.0,3,2
5000000,950.0,3,2
6500000,1368.0,3,3
6500000,1405.0,3,3
4800000,1000.0,2,2
4370000,950.0,2,2
8250000,1375.0,3,3
8250000,1375.0,3,3
8250000,1375.0,3,3
8250000,1375.0,3,3
2600000,650.0,2,2
8000000,1100.0,3,3
7800000,1660.0,3,3
9060000,1510.0,3,3
5500000,1150.0,3,3
8000000,1205.0,3,3
7359999,1232.0,3,3
4800000,1000.0,2,2
5200000,1000.0,2,2
4000000,930.0,3,2
8000000,1500.0,3,3
10500000,1553.0,3,3
2000000,600.0,2,1
4500000,1000.0,2,2
5400000,1200.0,3,3
6300000,1400.0,3,3
2800000,560.0,2,2
9590000,1370.0,3,3
11500000,1545.0,3,3
6000000,1250.0,3,3
3086000,834.0,2,2
4500000,1150.0,3,2
10000000,1350.0,3,3
4500000,1000.0,2,2
6075000,1350.0,3,3
6075000,1350.0,3,3
6075000,1350.0,3,3
6075000,1350.0,3,3
6075000,1350.0,3,3
6075000,1350.0,3,3
6075000,1350.0,3,3
6075000,1350.0,3,3
6075000,1350.0,3,3
4050000,900.0,2,2
2600000,950.0,2,2
8500000,1265.0,3,3
4000000,800.0,2,2
5650000,1130.0,3,3
5650000,1130.0,3,3
4150000,830.0,2,2
4500000,1000.0,2,2
6300000,1400.0,3,3
4000000,1000.0,3,3
7500000,1200.0,3,3
3200000,675.0,2,2
3100000,675.0,2,2
2500000,675.0,2,2
6075000,1350.0,3,3
4050000,900.0,2,2
7750000,1430.0,3,3
4000000,930.0,3,2
7300000,1400.0,3,3
4300000,1000.0,3,2
8000000,1600.0,4,4
7800000,1425.0,3,3
8200000,1675.0,3,3
6500000,1100.0,3,2
8500000,1366.0,3,3
8806000,1258.0,3,3
8806000,1258.0,3,3
8806000,1258.0,3,3
8806000,1258.0,3,3
8806000,1258.0,3,3
8806000,1258.0,3,3
8806000,1258.0,3,3
8806000,1258.0,3,3
8806000,1258.0,3,3
8806000,1258.0,3,3
8000000,1600.0,4,4
8806000,1258.0,3,3
8806000,1258.0,3,3
10000000,1670.0,3,3
4500000,850.0,2,2
8500000,1366.0,3,3
8500000,1366.0,3,3
6500000,1100.0,3,2
6500000,1450.0,3,3
5500000,1140.0,3,3
6300000,1400.0,3,3
5200000,960.0,3,2
9200000,1310.0,3,3
6500000,1370.0,3,3
6600000,1200.0,3,3
8000000,1600.0,4,4
5400000,1300.0,4,4
3094000,910.0,3,2
7500000,1398.0,3,3
7000000,1050.0,3,2
7000000,1285.0,3,3
11600000,1553.0,3,3
4500000,1050.0,3,3
2400000,675.0,2,2
3200000,675.0,2,2
3100000,675.0,2,2
2500000,675.0,2,2
7500000,1400.0,3,3
9800000,1600.0,3,3
9900000,1600.0,3,3
4000000,850.0,3,2
2000000,600.0,2,1
7500000,1250.0,3,3
7500000,1250.0,3,3
7500000,1250.0,3,3
7500000,1250.0,3,3
5200000,878.0,2,2
8000000,1300.0,3,3
8000000,1300.0,3,3
7000000,1320.0,3,3
7000000,1320.0,3,3
7000000,1320.0,3,3
7000000,1320.0,3,3
7000000,1320.0,3,3
4830000,1050.0,3,3
4000000,750.0,2,2
4000000,750.0,2,2
3150000,900.0,3,3
5000000,1000.0,3,3
7500000,1150.0,3,3
6538000,1391.0,3,3
6614000,1378.0,3,3
7000000,1320.0,3,3
