Price,Size,Beds,Bath,Location
8000000,1250.0,3,3,AftabNagar
8000000,1250.0,3,3,AftabNagar
8500000,1250.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
8400000,1300.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
7950000,1250.0,3,3,AftabNagar
9000000,1300.0,3,3,AftabNagar
8500000,1600.0,3,3,AftabNagar
6000000,1004.0,3,2,AftabNagar
6200000,1025.0,3,2,AftabNagar
5900000,1170.0,3,2,AftabNagar
11000000,1510.0,3,3,AftabNagar
7500000,1150.0,3,3,AftabNagar
6500000,1170.0,3,2,AftabNagar
6800000,1025.0,3,2,AftabNagar
7000000,1130.0,3,3,AftabNagar
8500000,1370.0,3,3,AftabNagar
7000000,1100.0,3,3,AftabNagar
6200000,1050.0,2,2,AftabNagar
6800000,1150.0,2,3,AftabNagar
7600000,1300.0,3,3,AftabNagar
9200000,1500.0,3,4,AftabNagar
7000000,1400.0,3,3,AftabNagar
7000000,1330.0,3,3,AftabNagar
7500000,1330.0,3,3,AftabNagar
7500000,1330.0,3,3,AftabNagar
7500000,1330.0,3,3,AftabNagar
6200000,1004.0,3,2,AftabNagar
5700000,1150.0,3,3,Agargaon
8000000,1425.0,3,3,Agargaon
8000000,1425.0,3,3,Agargaon
9000000,1384.0,3,3,Agargaon
7200000,1275.0,3,3,Agargaon
9200000,1384.0,3,3,Agargaon
5500000,887.0,2,2,Agargaon
3675000,650.0,2,2,Agargaon
6500000,1000.0,3,3,Agargaon
7300000,1440.0,3,4,Agargaon
7200000,1070.0,3,2,Agargaon
11700000,1800.0,4,4,Agargaon
6500000,1300.0,2,2,Agargaon
7450000,1290.0,3,3,Agargaon
6300000,950.0,2,2,Agargaon
4992000,960.0,3,2,Agargaon
5500000,895.0,2,2,Agargaon
5208000,765.0,2,2,Agargaon
6600000,1175.0,3,3,Agargaon
7200000,1309.0,3,3,Agargaon
8000000,1250.0,3,3,Agargaon
7000000,1150.0,3,3,Agargaon
5208000,765.0,2,2,Agargaon
6000000,1085.0,3,2,Agargaon
5000000,1200.0,3,3,Agargaon
4830000,950.0,3,2,Agargaon
3000000,650.0,2,2,Agargaon
4500000,1000.0,3,2,Agargaon
6600000,1205.0,3,3,Agargaon
6800000,1220.0,3,3,Agargaon
6600000,1205.0,3,3,Agargaon
6800000,1220.0,3,3,Agargaon
8000000,1550.0,3,3,Agargaon
6250000,1250.0,3,3,Agargaon
7000000,1150.0,3,2,Agargaon
4800000,1200.0,3,3,Agargaon
8100000,1500.0,3,3,Agargaon
8000000,1550.0,3,3,Agargaon
5500000,1300.0,3,3,Agargaon
4704000,980.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
5280000,1100.0,3,2,Agargaon
5280000,1100.0,3,2,Agargaon
5280000,1100.0,3,2,Agargaon
4704000,980.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
5184000,1080.0,2,2,Agargaon
4704000,980.0,2,2,Agargaon
6500000,1258.0,3,3,Agargaon
6200000,1250.0,3,3,Agargaon
6423999,1168.0,3,3,Agargaon
6231000,1133.0,3,3,Agargaon
7800000,1384.0,3,3,Agargaon
7800000,1384.0,3,3,Agargaon
4300000,1000.0,3,2,Agargaon
7300000,1250.0,3,3,Agargaon
8000000,1425.0,3,3,Agargaon
7315000,1330.0,3,2,Agargaon
5940000,1080.0,2,2,Agargaon
5000000,1075.0,3,3,Agargaon
3700000,765.0,2,2,Agargaon
7000000,1075.0,3,2,Agargaon
6500000,1295.0,3,2,Agargaon
6500000,1500.0,3,3,Agargaon
6300000,1260.0,3,2,Agargaon
5390000,980.0,2,2,Agargaon
5390000,980.0,2,2,Agargaon
5390000,980.0,2,2,Agargaon
5390000,980.0,2,2,Agargaon
5940000,1080.0,2,2,Agargaon
5940000,1080.0,2,2,Agargaon
5940000,1080.0,2,2,Agargaon
6325000,1150.0,3,2,Agargaon
5700000,1100.0,2,2,Agargaon
6700000,1220.0,3,2,Agargaon
8000000,1550.0,3,3,Agargaon
6000000,900.0,3,2,Agargaon
6500000,1200.0,3,3,Agargaon
3000000,750.0,2,2,Agargaon
6325000,1150.0,3,2,Agargaon
6325000,1150.0,3,2,Agargaon
6325000,1150.0,3,2,Agargaon
7425000,1350.0,4,2,Agargaon
7425000,1350.0,4,2,Agargaon
4170000,695.0,2,2,Agargaon
6325000,1150.0,3,2,Agargaon
6325000,1150.0,3,2,Agargaon
5000000,887.0,2,2,Agargaon
5000000,1028.0,3,3,Agargaon
5000000,1050.0,3,2,Agargaon
6400000,1230.0,3,3,Agargaon
6200000,1200.0,3,2,Agargaon
6400000,1230.0,3,3,Agargaon
6200000,1200.0,3,3,Agargaon
5500000,1100.0,3,2,Agargaon
5600000,1130.0,3,3,Agargaon
5500000,1100.0,3,2,Agargaon
5500000,1100.0,3,2,Agargaon
5600000,1130.0,3,3,Agargaon
4200000,815.0,2,2,Agargaon
4800000,825.0,2,2,Agargaon
8000000,1500.0,3,3,Agargaon
7425000,1350.0,4,2,Agargaon
7425000,1350.0,4,2,Agargaon
7425000,1350.0,4,2,Agargaon
10500000,1600.0,4,4,Agargaon
6000000,1075.0,3,3,Agargaon
4500000,1100.0,3,2,Agargaon
3700000,970.0,2,2,Agargaon
6700000,1220.0,3,2,Agargaon
5200000,1100.0,3,3,Agargaon
5500000,970.0,3,3,Agargaon
4500000,815.0,3,2,Agargaon
5000000,1160.0,3,2,Agargaon
3400000,850.0,2,2,Agargaon
7000000,1490.0,4,3,Agargaon
6539000,1189.0,3,2,Agargaon
5500000,1010.0,3,2,Agargaon
